filename,model_key,seed,size_bytes,sha256,manuscript_item
best_mbv2_tl2_seed0.pth,mbv2_tl2,0,9186399,d05779c4165de60d62032b84d01e0f94f48b7ed6c2dcd442e0b1cddf854a0ed4,proposed / Table 3 last row / Table 4 / Figs 8;10
best_mbv2_tl2_seed1.pth,mbv2_tl2,1,9186399,fb62ea9c0395d8df31eb82a3a397b0bcd9467685377b5aa9215e972207ac13fe,proposed / Table 3 last row / Table 4 / Figs 8;10
best_mbv2_tl2_seed2.pth,mbv2_tl2,2,9186399,862c2d507fd87ddcf16335d36d9d0431421693ccc87323201c2f7beaf693a297,proposed / Table 3 last row / Table 4 / Figs 8;10
best_mbv2_tl2_seed3.pth,mbv2_tl2,3,9186399,f6f378460dd9fedaa0bd30425e5b187212562ab3a6c4622b6ba598ba874e31a0,proposed / Table 3 last row / Table 4 / Figs 8;10
best_mbv2_tl2_seed4.pth,mbv2_tl2,4,9186399,94406c69d1d7a1977b4ac4d6e8ff851bf41890cde1fc53d768539a7e45bc60de,proposed / Table 3 last row / Table 4 / Figs 8;10
best_mbv2_color_seed0.pth,mbv2_color,0,9187043,1caa2af9d2b6325cd0c5421e616e564921385fabcb96e10da3478207fc4e884f,MobileNetV2+CAB / Table 4 / Fig 10
best_mbv2_color_seed1.pth,mbv2_color,1,9187043,12c34b59a9394152d51679f435123e3b2baeeca1e620f5def9bd65c72f8af5db,MobileNetV2+CAB / Table 4 / Fig 10
best_mbv2_color_seed2.pth,mbv2_color,2,9187043,23a42aa199900a7561e5fbb18ad9b8feaa2224dd1fd0e7a7dac058f5b4629c81,MobileNetV2+CAB / Table 4 / Fig 10
best_mbv2_color_seed3.pth,mbv2_color,3,9187043,2cf4eb0c92261bc0f8803064f971da91436cc02762c33bf9717bc2bd2e2d9ba7,MobileNetV2+CAB / Table 4 / Fig 10
best_mbv2_color_seed4.pth,mbv2_color,4,9187043,3231f74ce5e7478e5927da3f7bac7774fec4b4d4b91c697d93625d33a8e496be,MobileNetV2+CAB / Table 4 / Fig 10
best_mbv2_tl_seed0.pth,mbv2_tl,0,9184651,27f59d53a34ef10fa91facdf5ad7cf61f1c5a17beeb18edc9f003ad0b9bff0a4,MobileNetV2+DLR / Table 4 / Fig 10
best_mbv2_tl_seed1.pth,mbv2_tl,1,9184651,0c44225d67c19a27046651585fd81cac9d19b2f86d156cbf99f61c096a91222c,MobileNetV2+DLR / Table 4 / Fig 10
best_mbv2_tl_seed2.pth,mbv2_tl,2,9184651,8be26137b0b660291defa166d1bddd629d6b6866d5a02b0c9baced8bc66cfd59,MobileNetV2+DLR / Table 4 / Fig 10
best_mbv2_tl_seed3.pth,mbv2_tl,3,9184651,68d54afcedbb1bb866d8d85108e9124321d34b192a7308dc9017df167383b87e,MobileNetV2+DLR / Table 4 / Fig 10
best_mbv2_tl_seed4.pth,mbv2_tl,4,9184651,7e893331bc575e8dc722a140824cbb2d78cd7ea68ab4907b28b1e53b56acc307,MobileNetV2+DLR / Table 4 / Fig 10
best_mbv2_seed0.pth,mbv2,0,9183691,886f5a8193ec59123e92f5f7f6e38e035c8e4ce81b8bc702666e5120bb82ec62,baseline / Tables 3-4 / Figs 8;10
best_mbv2_seed1.pth,mbv2,1,9183691,c639f9fb409d1948e91f85fd491c6bf8bb76e6d868488b848bfb745756f0d98f,baseline / Tables 3-4 / Figs 8;10
best_mbv2_seed2.pth,mbv2,2,9183691,4824a68fa75fd275f832c44ed7a7962998dca64320c47aec7785f4bb19bc46ce,baseline / Tables 3-4 / Figs 8;10
best_mbv2_seed3.pth,mbv2,3,9183691,525d5746e67643dbbcdd87b10788773a82a1ca5e25183c09308ff3829e95c81a,baseline / Tables 3-4 / Figs 8;10
best_mbv2_seed4.pth,mbv2,4,9183691,f6d0de6a7e2f0d35a6ac8f9df89167fea22a5f43111177b3e78b5e732af940ea,baseline / Tables 3-4 / Figs 8;10
